"","M1001","M1002","M1003","M1004","M1005","M4001","M4002","M4003","M4004","M4005"
"PTPRCAP",-1.57379640694329,-1.87845285698908,-2.48023404698367,-2.4135157906441,-2.7994125457338,1.92269526700863,2.56723791754441,2.24424898178893,2.47766256098648,1.9335669199655
"HLA-DPB1",-1.05010466997593,-3.71767314508548,-2.34945411494612,-3.44889917458163,-3.20414478211479,3.08076458746963,1.96343939152726,3.46802670064957,3.31662979683583,1.94141541022167
"CTD-2328D6.1",0.805291730311781,6.55384129822846,-6.60246340409915,0.243818669173619,3.78988159143583,0.472822624548394,-1.39588246263978,-5.94409784314638,-0.716888574617943,2.79367637080518
"HLA-DPA1",-1.00234344851165,-3.76299637991107,-1.47164925782602,-2.01646204925366,-1.9970286783502,2.62071837855023,-0.0481399497394346,2.78060466718448,2.76185083343296,2.13544588442437
"NFAM1",2.05382678579702,3.35482560250548,0.717436889406606,1.47105057942158,2.41419426276787,-2.08484025210542,-1.87975381971911,-2.64051268877316,-2.16194364699584,-1.24428371230502
"DEFA3",5.95770980522178,1.85704843340768,2.85964739477828,1.26835642952635,1.21447086761315,0.334542060415032,-0.135922458479511,-4.08413426401949,-4.13838415294082,-5.13333411552245
"HLA-DMB",-1.54583682964927,-2.87960187579995,-1.75044844162419,-2.9874398015129,-2.5835336410344,2.29898957623103,1.8975953730205,2.71304687337003,3.03762653333554,1.79960223366362
"HBB",0.526232746454212,7.91278319078516,-2.28606086656741,4.0167178558476,-2.77297429573615,0.525204571738101,-1.23130637391085,-3.23077925536956,-1.72671817387268,-1.73309939936842
"SCARNA5",1.05061090567922,-0.822070774381757,4.03108706855414,-0.688779041181544,2.20314134603066,-0.71234292755708,-1.07451876055529,-2.77986733686909,-2.5613857111945,1.35412523147525
"AP5B1",1.63435706947784,2.3701754326949,1.60175316490212,1.82996488012991,2.62154313847071,-2.17825970951246,-1.7394224202142,-2.35357756238995,-2.74761633764073,-1.03891765591813
"SNORD116-20",1.77459453855583,-1.24291057128884,2.09237788318142,1.44210347025585,-3.64889521089215,0.66595515898428,0.079557594341237,1.71558898664043,1.2277167152674,-4.10608856504545
"ALOX12P2",2.39895774808167,1.15107888698591,-1.68150382230262,1.03389096684762,3.28616138491729,-0.390519860296182,-2.87044898202549,-2.90161327615313,-1.22843156102144,1.20242851496637
